"n","error","cell","rep","method","fdr","tpr","fpr05","n_rej"
10,"gauss","alt",3,"modhc3",0,0,0.0333333333333333,0
10,"gauss","alt",4,"ols",0,0,0.0555555555555556,0
10,"gauss","alt",4,"modt",0,0,0.0488888888888889,0
10,"gauss","alt",4,"hc3",0,0,0.0355555555555556,0
10,"gauss","alt",4,"modhc3",0,0,0.0288888888888889,0
10,"gauss","alt",5,"ols",0,0,0.0555555555555556,0
10,"gauss","alt",5,"modt",0,0,0.0533333333333333,0
10,"gauss","alt",5,"hc3",0,0,0.0422222222222222,0
10,"gauss","alt",5,"modhc3",0,0,0.0377777777777778,0
10,"gauss","alt",6,"ols",0,0,0.0777777777777778,0
10,"gauss","alt",6,"modt",0,0,0.0711111111111111,0
10,"gauss","alt",6,"hc3",1,0,0.0666666666666667,1
10,"gauss","alt",6,"modhc3",0.833333333333333,0.02,0.0511111111111111,6
10,"gauss","alt",7,"ols",0,0,0.0533333333333333,0
10,"gauss","alt",7,"modt",0,0,0.0511111111111111,0
10,"gauss","alt",7,"hc3",0,0,0.0355555555555556,0
10,"gauss","alt",7,"modhc3",0,0,0.0288888888888889,0
10,"gauss","alt",8,"ols",0,0,0.0555555555555556,0
10,"gauss","alt",8,"modt",0,0,0.0488888888888889,0
10,"gauss","alt",8,"hc3",0,0,0.0355555555555556,0
10,"gauss","alt",8,"modhc3",0,0,0.0444444444444444,0
10,"gauss","alt",9,"ols",1,0,0.0422222222222222,1
10,"gauss","alt",9,"modt",1,0,0.0466666666666667,1
10,"gauss","alt",9,"hc3",1,0,0.0377777777777778,2
10,"gauss","alt",9,"modhc3",1,0,0.0377777777777778,1
10,"gauss","alt",10,"ols",0,0,0.0644444444444444,0
10,"gauss","alt",10,"modt",0,0,0.0533333333333333,0
10,"gauss","alt",10,"hc3",0,0.02,0.06,1
10,"gauss","alt",10,"modhc3",0,0,0.0533333333333333,0
10,"gauss","alt",11,"ols",0,0,0.0511111111111111,0
10,"gauss","alt",11,"modt",1,0,0.0488888888888889,1
10,"gauss","alt",11,"hc3",0,0,0.0288888888888889,0
10,"gauss","alt",11,"modhc3",0,0,0.0333333333333333,0
10,"gauss","alt",12,"ols",0,0,0.0266666666666667,0
10,"gauss","alt",12,"modt",0,0,0.04,0
10,"gauss","alt",12,"hc3",0,0,0.0266666666666667,0
10,"gauss","alt",12,"modhc3",0,0,0.0355555555555556,0
10,"gauss","alt",13,"ols",0,0,0.0422222222222222,0
10,"gauss","alt",13,"modt",0,0,0.0377777777777778,0
10,"gauss","alt",13,"hc3",0,0,0.02,0
10,"gauss","alt",13,"modhc3",0,0,0.0155555555555556,0
10,"gauss","alt",14,"ols",0,0,0.0644444444444444,0
10,"gauss","alt",14,"modt",0,0,0.0622222222222222,0
10,"gauss","alt",14,"hc3",0,0,0.0266666666666667,0
10,"gauss","alt",14,"modhc3",0,0,0.0222222222222222,0
10,"gauss","alt",15,"ols",0,0.02,0.0377777777777778,1
10,"gauss","alt",15,"modt",0,0,0.0466666666666667,0
10,"gauss","alt",15,"hc3",0,0,0.0155555555555556,0
10,"gauss","alt",15,"modhc3",0,0,0.0155555555555556,0
20,"gauss","alt",1,"ols",0,0.02,0.0466666666666667,1
20,"gauss","alt",1,"modt",0,0.02,0.04,1
20,"gauss","alt",1,"hc3",0,0.02,0.06,1
20,"gauss","alt",1,"modhc3",0,0.02,0.0622222222222222,1
20,"gauss","alt",2,"ols",0,0.04,0.0355555555555556,2
20,"gauss","alt",2,"modt",0,0.04,0.0333333333333333,2
20,"gauss","alt",2,"hc3",0,0.04,0.0333333333333333,2
20,"gauss","alt",2,"modhc3",0,0.04,0.0333333333333333,2
20,"gauss","alt",3,"ols",0,0,0.0488888888888889,0
20,"gauss","alt",3,"modt",0,0,0.0466666666666667,0
20,"gauss","alt",3,"hc3",0,0,0.04,0
20,"gauss","alt",3,"modhc3",0,0.02,0.0355555555555556,1
20,"gauss","alt",4,"ols",0,0,0.0688888888888889,0
20,"gauss","alt",4,"modt",0,0,0.06,0
20,"gauss","alt",4,"hc3",0,0,0.0444444444444444,0
20,"gauss","alt",4,"modhc3",0,0,0.0511111111111111,0
20,"gauss","alt",5,"ols",0,0.02,0.0444444444444444,1
20,"gauss","alt",5,"modt",0,0.04,0.04,2
20,"gauss","alt",5,"hc3",0,0.02,0.0311111111111111,1
20,"gauss","alt",5,"modhc3",0,0.02,0.0288888888888889,1
20,"gauss","alt",6,"ols",0,0.02,0.0511111111111111,1
20,"gauss","alt",6,"modt",0.285714285714286,0.1,0.0533333333333333,7
20,"gauss","alt",6,"hc3",0,0.02,0.0333333333333333,1
20,"gauss","alt",6,"modhc3",0,0.02,0.0444444444444444,1
20,"gauss","alt",7,"ols",0,0,0.0533333333333333,0
20,"gauss","alt",7,"modt",0,0,0.0555555555555556,0
20,"gauss","alt",7,"hc3",0,0.04,0.0377777777777778,2
20,"gauss","alt",7,"modhc3",0,0.02,0.04,1
20,"gauss","alt",8,"ols",0,0,0.06,0
20,"gauss","alt",8,"modt",0,0,0.06,0
20,"gauss","alt",8,"hc3",1,0,0.0577777777777778,1
20,"gauss","alt",8,"modhc3",0.5,0.04,0.06,4
20,"gauss","alt",9,"ols",0,0,0.0533333333333333,0
20,"gauss","alt",9,"modt",0,0,0.0577777777777778,0
20,"gauss","alt",9,"hc3",0,0,0.0444444444444444,0
20,"gauss","alt",9,"modhc3",0,0,0.04,0
20,"gauss","alt",10,"ols",0,0,0.0711111111111111,0
20,"gauss","alt",10,"modt",0,0,0.0711111111111111,0
20,"gauss","alt",10,"hc3",0,0,0.0377777777777778,0
20,"gauss","alt",10,"modhc3",0,0,0.0466666666666667,0
20,"gauss","alt",11,"ols",0,0.02,0.08,1
20,"gauss","alt",11,"modt",0,0.02,0.08,1
20,"gauss","alt",11,"hc3",0,0.04,0.0733333333333333,2
20,"gauss","alt",11,"modhc3",0,0.02,0.0711111111111111,1
20,"gauss","alt",12,"ols",0,0,0.0355555555555556,0
20,"gauss","alt",12,"modt",0,0.02,0.0355555555555556,1
20,"gauss","alt",12,"hc3",0,0,0.0244444444444444,0
20,"gauss","alt",12,"modhc3",0,0,0.0288888888888889,0
20,"gauss","alt",13,"ols",0,0,0.0555555555555556,0
20,"gauss","alt",13,"modt",0,0,0.0533333333333333,0
20,"gauss","alt",13,"hc3",0,0,0.0377777777777778,0
20,"gauss","alt",13,"modhc3",0,0,0.0422222222222222,0
20,"gauss","alt",14,"ols",0.333333333333333,0.04,0.0533333333333333,3
20,"gauss","alt",14,"modt",0,0.08,0.0577777777777778,4
20,"gauss","alt",14,"hc3",0,0.02,0.0377777777777778,1
20,"gauss","alt",14,"modhc3",0,0.02,0.0355555555555556,1
20,"gauss","alt",15,"ols",0,0,0.0511111111111111,0
20,"gauss","alt",15,"modt",0,0.02,0.0555555555555556,1
20,"gauss","alt",15,"hc3",0,0,0.0466666666666667,0
20,"gauss","alt",15,"modhc3",0,0,0.0422222222222222,0
40,"gauss","alt",1,"ols",0.0416666666666667,0.46,0.0577777777777778,24
40,"gauss","alt",1,"modt",0,0.44,0.0533333333333333,22
40,"gauss","alt",1,"hc3",0.0454545454545455,0.42,0.0555555555555556,22
40,"gauss","alt",1,"modhc3",0.0384615384615385,0.5,0.0533333333333333,26
40,"gauss","alt",2,"ols",0.25,0.18,0.0533333333333333,12
40,"gauss","alt",2,"modt",0.166666666666667,0.1,0.0533333333333333,6
40,"gauss","alt",2,"hc3",0.142857142857143,0.12,0.06,7
40,"gauss","alt",2,"modhc3",0.166666666666667,0.1,0.0533333333333333,6
40,"gauss","alt",3,"ols",0,0.48,0.0377777777777778,24
40,"gauss","alt",3,"modt",0,0.48,0.0355555555555556,24
40,"gauss","alt",3,"hc3",0,0.44,0.0288888888888889,22
40,"gauss","alt",3,"modhc3",0.0454545454545455,0.42,0.0288888888888889,22
40,"gauss","alt",4,"ols",0,0.08,0.0488888888888889,4
40,"gauss","alt",4,"modt",0,0.12,0.0466666666666667,6
40,"gauss","alt",4,"hc3",0,0.06,0.0355555555555556,3
40,"gauss","alt",4,"modhc3",0,0.04,0.0377777777777778,2
40,"gauss","alt",5,"ols",0.117647058823529,0.3,0.0377777777777778,17
40,"gauss","alt",5,"modt",0.125,0.28,0.0355555555555556,16
40,"gauss","alt",5,"hc3",0.230769230769231,0.2,0.0466666666666667,13
40,"gauss","alt",5,"modhc3",0.214285714285714,0.22,0.0377777777777778,14
40,"gauss","alt",6,"ols",0,0.34,0.0333333333333333,17
40,"gauss","alt",6,"modt",0,0.34,0.0355555555555556,17
40,"gauss","alt",6,"hc3",0.05,0.38,0.0288888888888889,20
40,"gauss","alt",6,"modhc3",0.05,0.38,0.0288888888888889,20
40,"gauss","alt",7,"ols",0.0454545454545455,0.42,0.0533333333333333,22
40,"gauss","alt",7,"modt",0.0416666666666667,0.46,0.0577777777777778,24
40,"gauss","alt",7,"hc3",0.0526315789473684,0.36,0.0422222222222222,19
40,"gauss","alt",7,"modhc3",0.0454545454545455,0.42,0.0444444444444444,22
40,"gauss","alt",8,"ols",0.0769230769230769,0.24,0.0444444444444444,13
40,"gauss","alt",8,"modt",0.0714285714285714,0.26,0.0488888888888889,14
40,"gauss","alt",8,"hc3",0,0.18,0.04,9
40,"gauss","alt",8,"modhc3",0.0625,0.3,0.04,16
40,"gauss","alt",9,"ols",0.0952380952380952,0.38,0.06,21
40,"gauss","alt",9,"modt",0.1,0.36,0.0577777777777778,20
40,"gauss","alt",9,"hc3",0.157894736842105,0.32,0.0644444444444444,19
40,"gauss","alt",9,"modhc3",0.117647058823529,0.3,0.0622222222222222,17
40,"gauss","alt",10,"ols",0,0.16,0.0488888888888889,8
40,"gauss","alt",10,"modt",0,0.16,0.0533333333333333,8
40,"gauss","alt",10,"hc3",0,0.16,0.04,8
40,"gauss","alt",10,"modhc3",0,0.14,0.0422222222222222,7
40,"gauss","alt",11,"ols",0.0740740740740741,0.5,0.0422222222222222,27
40,"gauss","alt",11,"modt",0.0740740740740741,0.5,0.0444444444444444,27
40,"gauss","alt",11,"hc3",0.05,0.38,0.0422222222222222,20
40,"gauss","alt",11,"modhc3",0.0454545454545455,0.42,0.0422222222222222,22
40,"gauss","alt",12,"ols",0.0833333333333333,0.22,0.0444444444444444,12
40,"gauss","alt",12,"modt",0.0833333333333333,0.22,0.0511111111111111,12
40,"gauss","alt",12,"hc3",0.125,0.14,0.0355555555555556,8
40,"gauss","alt",12,"modhc3",0.142857142857143,0.12,0.0355555555555556,7
40,"gauss","alt",13,"ols",0,0.26,0.0511111111111111,13
40,"gauss","alt",13,"modt",0,0.28,0.0555555555555556,14
40,"gauss","alt",13,"hc3",0,0.26,0.0577777777777778,13
40,"gauss","alt",13,"modhc3",0,0.2,0.06,10
40,"gauss","alt",14,"ols",0.05,0.38,0.0533333333333333,20
40,"gauss","alt",14,"modt",0.0476190476190476,0.4,0.0511111111111111,21
40,"gauss","alt",14,"hc3",0,0.34,0.0511111111111111,17
40,"gauss","alt",14,"modhc3",0,0.34,0.0488888888888889,17
40,"gauss","alt",15,"ols",0,0.3,0.0488888888888889,15
40,"gauss","alt",15,"modt",0,0.26,0.0444444444444444,13
40,"gauss","alt",15,"hc3",0,0.24,0.0511111111111111,12
40,"gauss","alt",15,"modhc3",0,0.26,0.0488888888888889,13
100,"gauss","alt",1,"ols",0.0408163265306122,0.94,0.0311111111111111,49
100,"gauss","alt",1,"modt",0.04,0.96,0.0311111111111111,50
100,"gauss","alt",1,"hc3",0.0408163265306122,0.94,0.0311111111111111,49
100,"gauss","alt",1,"modhc3",0.0408163265306122,0.94,0.0333333333333333,49
100,"gauss","alt",2,"ols",0.0925925925925926,0.98,0.0555555555555556,54
100,"gauss","alt",2,"modt",0.0754716981132075,0.98,0.0555555555555556,53
100,"gauss","alt",2,"hc3",0.0925925925925926,0.98,0.0555555555555556,54
100,"gauss","alt",2,"modhc3",0.0754716981132075,0.98,0.0555555555555556,53
100,"gauss","alt",3,"ols",0.04,0.96,0.0555555555555556,50
100,"gauss","alt",3,"modt",0.04,0.96,0.0577777777777778,50
100,"gauss","alt",3,"hc3",0.0408163265306122,0.94,0.0511111111111111,49
100,"gauss","alt",3,"modhc3",0.04,0.96,0.0533333333333333,50
100,"gauss","alt",4,"ols",0.0576923076923077,0.98,0.0555555555555556,52
100,"gauss","alt",4,"modt",0.0754716981132075,0.98,0.0533333333333333,53
100,"gauss","alt",4,"hc3",0.02,0.98,0.0533333333333333,50
100,"gauss","alt",4,"modhc3",0.0204081632653061,0.96,0.0533333333333333,49
100,"gauss","alt",5,"ols",0.0238095238095238,0.82,0.0466666666666667,42
100,"gauss","alt",5,"modt",0.0238095238095238,0.82,0.0466666666666667,42
100,"gauss","alt",5,"hc3",0.0465116279069767,0.82,0.0444444444444444,43
100,"gauss","alt",5,"modhc3",0.0465116279069767,0.82,0.0466666666666667,43
100,"gauss","alt",6,"ols",0.0384615384615385,1,0.0622222222222222,52
100,"gauss","alt",6,"modt",0.0384615384615385,1,0.06,52
100,"gauss","alt",6,"hc3",0.0384615384615385,1,0.06,52
100,"gauss","alt",6,"modhc3",0.0384615384615385,1,0.0555555555555556,52
100,"gauss","alt",7,"ols",0,0.94,0.0422222222222222,47
100,"gauss","alt",7,"modt",0,0.94,0.0355555555555556,47
100,"gauss","alt",7,"hc3",0,0.94,0.0311111111111111,47
100,"gauss","alt",7,"modhc3",0,0.94,0.0333333333333333,47
100,"gauss","alt",8,"ols",0.0566037735849057,1,0.0488888888888889,53
100,"gauss","alt",8,"modt",0.0566037735849057,1,0.0488888888888889,53
100,"gauss","alt",8,"hc3",0.0384615384615385,1,0.0444444444444444,52
100,"gauss","alt",8,"modhc3",0.0384615384615385,1,0.0488888888888889,52
100,"gauss","alt",9,"ols",0.04,0.96,0.0377777777777778,50
100,"gauss","alt",9,"modt",0.04,0.96,0.0377777777777778,50
100,"gauss","alt",9,"hc3",0.04,0.96,0.04,50
100,"gauss","alt",9,"modhc3",0.04,0.96,0.0422222222222222,50
100,"gauss","alt",10,"ols",0,0.94,0.0422222222222222,47
100,"gauss","alt",10,"modt",0.0208333333333333,0.94,0.0466666666666667,48
100,"gauss","alt",10,"hc3",0.0208333333333333,0.94,0.04,48
100,"gauss","alt",10,"modhc3",0.0208333333333333,0.94,0.0377777777777778,48
100,"gauss","alt",11,"ols",0.0612244897959184,0.92,0.0488888888888889,49
100,"gauss","alt",11,"modt",0.0980392156862745,0.92,0.0488888888888889,51
100,"gauss","alt",11,"hc3",0.0612244897959184,0.92,0.0511111111111111,49
100,"gauss","alt",11,"modhc3",0.0961538461538462,0.94,0.0555555555555556,52
100,"gauss","alt",12,"ols",0.0588235294117647,0.96,0.0488888888888889,51
100,"gauss","alt",12,"modt",0.0588235294117647,0.96,0.0488888888888889,51
100,"gauss","alt",12,"hc3",0.04,0.96,0.0422222222222222,50
100,"gauss","alt",12,"modhc3",0.04,0.96,0.04,50
100,"gauss","alt",13,"ols",0.0208333333333333,0.94,0.0466666666666667,48
100,"gauss","alt",13,"modt",0.0208333333333333,0.94,0.0466666666666667,48
100,"gauss","alt",13,"hc3",0.0222222222222222,0.88,0.04,45
100,"gauss","alt",13,"modhc3",0.0222222222222222,0.88,0.04,45
100,"gauss","alt",14,"ols",0,1,0.0511111111111111,50
100,"gauss","alt",14,"modt",0,1,0.0488888888888889,50
100,"gauss","alt",14,"hc3",0,0.98,0.0511111111111111,49
100,"gauss","alt",14,"modhc3",0,0.98,0.0533333333333333,49
100,"gauss","alt",15,"ols",0.0222222222222222,0.88,0.0444444444444444,45
100,"gauss","alt",15,"modt",0.0227272727272727,0.86,0.0444444444444444,44
100,"gauss","alt",15,"hc3",0,0.86,0.0422222222222222,43
100,"gauss","alt",15,"modhc3",0,0.86,0.0444444444444444,43
10,"t3","alt",1,"ols",0,0,0.0511111111111111,0
10,"t3","alt",1,"modt",0,0,0.0444444444444444,0
10,"t3","alt",1,"hc3",1,0,0.0355555555555556,2
10,"t3","alt",1,"modhc3",1,0,0.0444444444444444,1
10,"t3","alt",2,"ols",0,0,0.0355555555555556,0
10,"t3","alt",2,"modt",0,0,0.04,0
10,"t3","alt",2,"hc3",0,0,0.0133333333333333,0
10,"t3","alt",2,"modhc3",0,0,0.0222222222222222,0
10,"t3","alt",3,"ols",0,0,0.0466666666666667,0
10,"t3","alt",3,"modt",0,0,0.0466666666666667,0
10,"t3","alt",3,"hc3",1,0,0.0333333333333333,2
10,"t3","alt",3,"modhc3",1,0,0.04,1
10,"t3","alt",4,"ols",0,0,0.0355555555555556,0
10,"t3","alt",4,"modt",0,0,0.0333333333333333,0
10,"t3","alt",4,"hc3",0,0,0.00888888888888889,0
10,"t3","alt",4,"modhc3",0,0,0.00888888888888889,0
10,"t3","alt",5,"ols",0,0,0.0377777777777778,0
10,"t3","alt",5,"modt",0,0,0.0266666666666667,0
10,"t3","alt",5,"hc3",0,0,0.0133333333333333,0
10,"t3","alt",5,"modhc3",0,0,0.0133333333333333,0
10,"t3","alt",6,"ols",0,0,0.0533333333333333,0
10,"t3","alt",6,"modt",0,0,0.0622222222222222,0
10,"t3","alt",6,"hc3",0,0.02,0.0333333333333333,1
10,"t3","alt",6,"modhc3",0,0.02,0.0288888888888889,1
10,"t3","alt",7,"ols",0,0,0.0333333333333333,0
10,"t3","alt",7,"modt",0,0,0.0422222222222222,0
10,"t3","alt",7,"hc3",0,0,0.0111111111111111,0
10,"t3","alt",7,"modhc3",0,0,0.0133333333333333,0
10,"t3","alt",8,"ols",0,0,0.0466666666666667,0
10,"t3","alt",8,"modt",0,0,0.0644444444444444,0
10,"t3","alt",8,"hc3",0,0,0.02,0
10,"t3","alt",8,"modhc3",0,0,0.0177777777777778,0
10,"t3","alt",9,"ols",0,0.02,0.0422222222222222,1
10,"t3","alt",9,"modt",0,0,0.0422222222222222,0
10,"t3","alt",9,"hc3",0,0,0.02,0
10,"t3","alt",9,"modhc3",0,0,0.0288888888888889,0
10,"t3","alt",10,"ols",0,0,0.0533333333333333,0
10,"t3","alt",10,"modt",0,0,0.0511111111111111,0
10,"t3","alt",10,"hc3",0,0,0.04,0
10,"t3","alt",10,"modhc3",0,0,0.0355555555555556,0
10,"t3","alt",11,"ols",0,0,0.0555555555555556,0
10,"t3","alt",11,"modt",0,0,0.0533333333333333,0
10,"t3","alt",11,"hc3",0,0,0.0422222222222222,0
10,"t3","alt",11,"modhc3",0,0,0.0444444444444444,0
10,"t3","alt",12,"ols",0,0,0.0666666666666667,0
10,"t3","alt",12,"modt",0,0.02,0.0577777777777778,1
10,"t3","alt",12,"hc3",0,0,0.0422222222222222,0
10,"t3","alt",12,"modhc3",0,0,0.0288888888888889,0
10,"t3","alt",13,"ols",0,0,0.0466666666666667,0
10,"t3","alt",13,"modt",0,0,0.0555555555555556,0
10,"t3","alt",13,"hc3",0,0,0.0288888888888889,0
10,"t3","alt",13,"modhc3",0,0,0.0288888888888889,0
10,"t3","alt",14,"ols",0,0,0.0444444444444444,0
10,"t3","alt",14,"modt",0,0,0.0533333333333333,0
10,"t3","alt",14,"hc3",0,0,0.0266666666666667,0
10,"t3","alt",14,"modhc3",0,0,0.0177777777777778,0
10,"t3","alt",15,"ols",0,0,0.04,0
10,"t3","alt",15,"modt",0,0,0.0355555555555556,0
10,"t3","alt",15,"hc3",0,0,0.02,0
10,"t3","alt",15,"modhc3",0,0,0.02,0
20,"t3","alt",1,"ols",0,0.04,0.0511111111111111,2
20,"t3","alt",1,"modt",0,0.02,0.0533333333333333,1
20,"t3","alt",1,"hc3",0,0.06,0.0333333333333333,3
20,"t3","alt",1,"modhc3",0,0.04,0.0333333333333333,2
20,"t3","alt",2,"ols",0,0.24,0.04,12
20,"t3","alt",2,"modt",0,0.22,0.0422222222222222,11
20,"t3","alt",2,"hc3",0,0.14,0.02,7
20,"t3","alt",2,"modhc3",0.0833333333333333,0.22,0.0222222222222222,12
20,"t3","alt",3,"ols",0,0,0.0488888888888889,0
20,"t3","alt",3,"modt",0,0,0.0488888888888889,0
20,"t3","alt",3,"hc3",0,0,0.0355555555555556,0
20,"t3","alt",3,"modhc3",0,0,0.0333333333333333,0
20,"t3","alt",4,"ols",0,0.06,0.0333333333333333,3
20,"t3","alt",4,"modt",0,0.08,0.0311111111111111,4
20,"t3","alt",4,"hc3",0,0.1,0.0244444444444444,5
20,"t3","alt",4,"modhc3",0,0.12,0.0266666666666667,6
20,"t3","alt",5,"ols",0,0.12,0.0622222222222222,6
20,"t3","alt",5,"modt",0,0.12,0.0555555555555556,6
20,"t3","alt",5,"hc3",0,0.08,0.0377777777777778,4
20,"t3","alt",5,"modhc3",0,0.08,0.0333333333333333,4
20,"t3","alt",6,"ols",0,0.06,0.0688888888888889,3
20,"t3","alt",6,"modt",0,0.06,0.0688888888888889,3
20,"t3","alt",6,"hc3",0,0.16,0.0266666666666667,8
20,"t3","alt",6,"modhc3",0,0.14,0.0333333333333333,7
20,"t3","alt",7,"ols",0,0.1,0.06,5
20,"t3","alt",7,"modt",0,0.06,0.0644444444444444,3
20,"t3","alt",7,"hc3",0.25,0.06,0.0333333333333333,4
20,"t3","alt",7,"modhc3",0.25,0.06,0.0355555555555556,4
20,"t3","alt",8,"ols",0.333333333333333,0.04,0.0622222222222222,3
20,"t3","alt",8,"modt",0,0.04,0.06,2
20,"t3","alt",8,"hc3",0,0.04,0.0511111111111111,2
20,"t3","alt",8,"modhc3",0,0.06,0.0466666666666667,3
20,"t3","alt",9,"ols",0,0.2,0.0577777777777778,10
20,"t3","alt",9,"modt",0,0.2,0.0533333333333333,10
20,"t3","alt",9,"hc3",0,0.12,0.0377777777777778,6
20,"t3","alt",9,"modhc3",0,0.16,0.0311111111111111,8
20,"t3","alt",10,"ols",0.2,0.08,0.0466666666666667,5
20,"t3","alt",10,"modt",0.166666666666667,0.1,0.0533333333333333,6
20,"t3","alt",10,"hc3",0,0.06,0.0333333333333333,3
20,"t3","alt",10,"modhc3",0,0.06,0.0333333333333333,3
20,"t3","alt",11,"ols",0,0.1,0.0333333333333333,5
20,"t3","alt",11,"modt",0,0.12,0.0444444444444444,6
20,"t3","alt",11,"hc3",0,0.12,0.0288888888888889,6
20,"t3","alt",11,"modhc3",0,0.12,0.0222222222222222,6
20,"t3","alt",12,"ols",0,0,0.0488888888888889,0
20,"t3","alt",12,"modt",0,0,0.04,0
20,"t3","alt",12,"hc3",0,0,0.0333333333333333,0
20,"t3","alt",12,"modhc3",0,0,0.0333333333333333,0
20,"t3","alt",13,"ols",0,0.14,0.0622222222222222,7
20,"t3","alt",13,"modt",0,0.08,0.0533333333333333,4
20,"t3","alt",13,"hc3",0,0.04,0.0488888888888889,2
20,"t3","alt",13,"modhc3",0,0.04,0.04,2
20,"t3","alt",14,"ols",0,0.1,0.04,5
20,"t3","alt",14,"modt",0,0.1,0.0377777777777778,5
20,"t3","alt",14,"hc3",0,0.06,0.0244444444444444,3
20,"t3","alt",14,"modhc3",0,0.06,0.0222222222222222,3
20,"t3","alt",15,"ols",0,0.1,0.0333333333333333,5
20,"t3","alt",15,"modt",0,0.02,0.0288888888888889,1
20,"t3","alt",15,"hc3",0,0.04,0.02,2
20,"t3","alt",15,"modhc3",0,0,0.0222222222222222,0
40,"t3","alt",1,"ols",0,0.46,0.0266666666666667,23
40,"t3","alt",1,"modt",0,0.48,0.0288888888888889,24
40,"t3","alt",1,"hc3",0,0.42,0.0311111111111111,21
40,"t3","alt",1,"modhc3",0,0.4,0.0311111111111111,20
40,"t3","alt",2,"ols",0.0689655172413793,0.54,0.0555555555555556,29
40,"t3","alt",2,"modt",0.0689655172413793,0.54,0.0511111111111111,29
40,"t3","alt",2,"hc3",0.037037037037037,0.52,0.0511111111111111,27
40,"t3","alt",2,"modhc3",0.037037037037037,0.52,0.0488888888888889,27
40,"t3","alt",3,"ols",0.0357142857142857,0.54,0.0622222222222222,28
40,"t3","alt",3,"modt",0.0344827586206897,0.56,0.0577777777777778,29
40,"t3","alt",3,"hc3",0.0434782608695652,0.44,0.0488888888888889,23
40,"t3","alt",3,"modhc3",0.0454545454545455,0.42,0.0466666666666667,22
40,"t3","alt",4,"ols",0,0.4,0.0377777777777778,20
40,"t3","alt",4,"modt",0,0.46,0.0333333333333333,23
40,"t3","alt",4,"hc3",0,0.48,0.0288888888888889,24
40,"t3","alt",4,"modhc3",0,0.58,0.0222222222222222,29
40,"t3","alt",5,"ols",0,0.58,0.0555555555555556,29
40,"t3","alt",5,"modt",0,0.54,0.0577777777777778,27
40,"t3","alt",5,"hc3",0,0.58,0.0377777777777778,29
40,"t3","alt",5,"modhc3",0,0.58,0.0444444444444444,29
40,"t3","alt",6,"ols",0.0416666666666667,0.46,0.0377777777777778,24
40,"t3","alt",6,"modt",0.037037037037037,0.52,0.0377777777777778,27
40,"t3","alt",6,"hc3",0,0.46,0.02,23
40,"t3","alt",6,"modhc3",0.037037037037037,0.52,0.0244444444444444,27
40,"t3","alt",7,"ols",0.0625,0.3,0.0466666666666667,16
40,"t3","alt",7,"modt",0.0625,0.3,0.0466666666666667,16
40,"t3","alt",7,"hc3",0,0.4,0.0422222222222222,20
40,"t3","alt",7,"modhc3",0,0.42,0.04,21
40,"t3","alt",8,"ols",0.03125,0.62,0.0577777777777778,32
40,"t3","alt",8,"modt",0.032258064516129,0.6,0.0533333333333333,31
40,"t3","alt",8,"hc3",0.0645161290322581,0.58,0.0533333333333333,31
40,"t3","alt",8,"modhc3",0.0645161290322581,0.58,0.0533333333333333,31
40,"t3","alt",9,"ols",0,0.66,0.0444444444444444,33
40,"t3","alt",9,"modt",0,0.66,0.0444444444444444,33
40,"t3","alt",9,"hc3",0,0.54,0.0355555555555556,27
40,"t3","alt",9,"modhc3",0,0.56,0.0377777777777778,28
40,"t3","alt",10,"ols",0,0.54,0.04,27
40,"t3","alt",10,"modt",0,0.48,0.0355555555555556,24
40,"t3","alt",10,"hc3",0.0384615384615385,0.5,0.0355555555555556,26
40,"t3","alt",10,"modhc3",0.0333333333333333,0.58,0.0333333333333333,30
40,"t3","alt",11,"ols",0,0.4,0.0422222222222222,20
40,"t3","alt",11,"modt",0,0.4,0.0444444444444444,20
40,"t3","alt",11,"hc3",0.05,0.38,0.0444444444444444,20
40,"t3","alt",11,"modhc3",0.0476190476190476,0.4,0.04,21
40,"t3","alt",12,"ols",0.04,0.48,0.0688888888888889,25
40,"t3","alt",12,"modt",0.0769230769230769,0.48,0.0688888888888889,26
40,"t3","alt",12,"hc3",0.0833333333333333,0.44,0.0488888888888889,24
40,"t3","alt",12,"modhc3",0.08,0.46,0.0466666666666667,25
40,"t3","alt",13,"ols",0,0.36,0.0422222222222222,18
40,"t3","alt",13,"modt",0,0.34,0.0377777777777778,17
40,"t3","alt",13,"hc3",0,0.36,0.0288888888888889,18
40,"t3","alt",13,"modhc3",0,0.34,0.0288888888888889,17
40,"t3","alt",14,"ols",0,0.5,0.0488888888888889,25
40,"t3","alt",14,"modt",0,0.5,0.0533333333333333,25
40,"t3","alt",14,"hc3",0.0357142857142857,0.54,0.0488888888888889,28
40,"t3","alt",14,"modhc3",0.0357142857142857,0.54,0.0488888888888889,28
40,"t3","alt",15,"ols",0.0294117647058824,0.66,0.0377777777777778,34
40,"t3","alt",15,"modt",0.0294117647058824,0.66,0.0333333333333333,34
40,"t3","alt",15,"hc3",0.0645161290322581,0.58,0.0355555555555556,31
40,"t3","alt",15,"modhc3",0.0606060606060606,0.62,0.0311111111111111,33
100,"t3","alt",1,"ols",0.0769230769230769,0.96,0.0422222222222222,52
100,"t3","alt",1,"modt",0.0769230769230769,0.96,0.0422222222222222,52
100,"t3","alt",1,"hc3",0.04,0.96,0.0333333333333333,50
100,"t3","alt",1,"modhc3",0.0588235294117647,0.96,0.0355555555555556,51
