"n","c_depth","disp","rep","method","n_taxa","n_fail","fdr","tpr","rej_null","rej_prev_only","rej_abund_only","rej_both"
100,4,"nb",2,"abund_lm_depth",298,2,0,0,0.0546218487394958,0,0.153846153846154,0.296296296296296
20,1,"nb_pure",2,"naive",252,0,0,0,0.0101522842639594,0.230769230769231,0.04,0.176470588235294
20,1,"nb_pure",2,"depthcov",252,0,0,0,0.0101522842639594,0.153846153846154,0.04,0.176470588235294
20,1,"nb_pure",2,"jzi_prev",252,0,0,0,0.0406091370558376,0.230769230769231,0,0.117647058823529
20,1,"nb_pure",2,"jzi_abund",252,0,0.333333333333333,0.19047619047619,0.137055837563452,0.0769230769230769,0.52,0.352941176470588
20,1,"nb_pure",2,"zinb",0,252,0,NA,NA,NA,NA,NA
20,1,"nb_pure",2,"abund_lm_depth",191,61,0.333333333333333,0.0666666666666667,0.08,0,0.263157894736842,0.272727272727273
50,1,"nb_pure",2,"naive",281,0,0,0,0.0533333333333333,0.5,0.133333333333333,0.411764705882353
50,1,"nb_pure",2,"depthcov",281,0,0,0,0.0444444444444444,0.5,0.0666666666666667,0.411764705882353
50,1,"nb_pure",2,"jzi_prev",281,0,0,0.0975609756097561,0.0444444444444444,0.291666666666667,0,0.176470588235294
50,1,"nb_pure",2,"jzi_abund",281,0,0,0.21875,0.0666666666666667,0.0416666666666667,0.6,0.411764705882353
50,1,"nb_pure",2,"zinb",272,9,0,0,0.0181818181818182,0.166666666666667,0,0.214285714285714
50,1,"nb_pure",2,"abund_lm_depth",256,25,0,0.166666666666667,0.0428571428571429,0.0454545454545455,0.416666666666667,0.333333333333333
100,1,"nb_pure",2,"naive",296,0,0.2,0.105263157894737,0.0638297872340425,0.611111111111111,0.130434782608696,0.5
100,1,"nb_pure",2,"depthcov",296,0,0.2,0.105263157894737,0.0638297872340425,0.611111111111111,0.173913043478261,0.5
100,1,"nb_pure",2,"jzi_prev",296,0,0,0.157894736842105,0.0723404255319149,0.5,0.0434782608695652,0.45
100,1,"nb_pure",2,"jzi_abund",296,0,0.133333333333333,0.604651162790698,0.0680851063829787,0,0.826086956521739,0.6
100,1,"nb_pure",2,"zinb",291,5,0,0.0294117647058824,0.0427350427350427,0.375,0,0.388888888888889
100,1,"nb_pure",2,"abund_lm_depth",286,10,0.0416666666666667,0.58974358974359,0.0432900432900433,0.0625,0.80952380952381,0.611111111111111
20,4,"nb_pure",2,"naive",258,0,0,0,0.0483091787439614,0.166666666666667,0,0.0833333333333333
20,4,"nb_pure",2,"depthcov",258,0,0,0,0.00966183574879227,0,0,0
20,4,"nb_pure",2,"jzi_prev",258,0,0,0,0.0144927536231884,0.0555555555555556,0,0.0833333333333333
20,4,"nb_pure",2,"jzi_abund",258,0,0.166666666666667,0.151515151515152,0.0628019323671498,0.0555555555555556,0.523809523809524,0.666666666666667
20,4,"nb_pure",2,"zinb",0,258,0,NA,NA,NA,NA,NA
20,4,"nb_pure",2,"abund_lm_depth",208,50,1,0,0.0355029585798817,0.0833333333333333,0.105263157894737,0.25
50,4,"nb_pure",2,"naive",295,0,0.705882352941177,0.15625,0.192468619246862,0.55,0.0833333333333333,0.25
50,4,"nb_pure",2,"depthcov",295,0,0,0,0.0376569037656904,0.1,0.0833333333333333,0
50,4,"nb_pure",2,"jzi_prev",295,0,0,0.0625,0.0418410041841004,0.5,0,0.25
50,4,"nb_pure",2,"jzi_abund",295,0,0.133333333333333,0.361111111111111,0.0878661087866109,0.05,0.583333333333333,0.666666666666667
50,4,"nb_pure",2,"zinb",284,11,0,0,0.0305676855895196,0.35,0,0.0833333333333333
50,4,"nb_pure",2,"abund_lm_depth",280,15,0,0,0.052863436123348,0.05,0.227272727272727,0.181818181818182
100,4,"nb_pure",2,"naive",298,0,0.725,0.297297297297297,0.270833333333333,0.777777777777778,0.0476190476190476,0.578947368421053
100,4,"nb_pure",2,"depthcov",298,0,0,0,0.0666666666666667,0.333333333333333,0.0952380952380952,0.105263157894737
100,4,"nb_pure",2,"jzi_prev",298,0,0,0.108108108108108,0.0541666666666667,0.611111111111111,0,0.368421052631579
100,4,"nb_pure",2,"jzi_abund",298,0,0,0.525,0.0458333333333333,0.0555555555555556,0.761904761904762,0.684210526315789
100,4,"nb_pure",2,"zinb",296,2,0,0.111111111111111,0.0418410041841004,0.588235294117647,0,0.368421052631579
100,4,"nb_pure",2,"abund_lm_depth",296,2,0.166666666666667,0.125,0.0418410041841004,0.176470588235294,0.476190476190476,0.368421052631579
20,1,"poisson",3,"naive",253,0,0,0,0.00952380952380952,0.111111111111111,0,0
20,1,"poisson",3,"depthcov",253,0,0,0,0.019047619047619,0.166666666666667,0,0
20,1,"poisson",3,"jzi_prev",253,0,0,0,0.0333333333333333,0.222222222222222,0,0.0769230769230769
20,1,"poisson",3,"jzi_abund",253,0,0.75,0.04,0.1,0.222222222222222,0.333333333333333,0.230769230769231
20,1,"poisson",3,"zinb",0,253,0,NA,NA,NA,NA,NA
20,1,"poisson",3,"abund_lm_depth",191,62,0,0,0.0445859872611465,0.0714285714285714,0.181818181818182,0.111111111111111
50,1,"poisson",3,"naive",295,0,0,0.05,0.0460251046025105,0.380952380952381,0.125,0.315789473684211
50,1,"poisson",3,"depthcov",295,0,0,0.05,0.0460251046025105,0.380952380952381,0.125,0.315789473684211
50,1,"poisson",3,"jzi_prev",295,0,0,0.1,0.0543933054393305,0.238095238095238,0,0.157894736842105
50,1,"poisson",3,"jzi_abund",295,0,0,0.171428571428571,0.104602510460251,0.0952380952380952,0.4375,0.736842105263158
50,1,"poisson",3,"zinb",293,2,0,0,0.0126050420168067,0.2,0,0.0526315789473684
