"n","c_depth","disp","rep","method","n_taxa","n_fail","fdr","tpr","rej_null","rej_prev_only","rej_abund_only","rej_both"
20,1,"nb",7,"occ_cal",247,0,0,0,0.0738916256157636,0.142857142857143,0.133333333333333,0.133333333333333
20,1,"nb",7,"abund_trunc",186,61,1,0,0.0580645161290323,0.2,0.1,0.0909090909090909
20,1,"nb",7,"occ_trunc",247,0,0,0,0.083743842364532,0.142857142857143,0.133333333333333,0.133333333333333
20,1,"nb",7,"abund_ztnb",186,61,1,0,0.0903225806451613,0.1,0.1,0.0909090909090909
20,1,"nb",7,"occ_ztnb",186,61,0,0,0.0516129032258065,0.1,0,0.0909090909090909
20,1,"nb",7,"lm_pseudo",247,0,0,0,0.0738916256157636,0.214285714285714,0.133333333333333,0.2
20,1,"nb",7,"lm_pseudo_depth",247,0,0,0,0.0492610837438424,0.0714285714285714,0.133333333333333,0.133333333333333
20,1,"nb",7,"abund_lm_depth",186,61,0,0,0.0258064516129032,0,0.1,0.0909090909090909
20,1,"nb",7,"zip",238,9,0,0,0.0255102040816327,0,0,0
20,1,"nb",7,"lm_pseudo_mc",247,0,0,0,0.0541871921182266,0,0.133333333333333,0.0666666666666667
50,1,"nb",7,"naive",287,0,0,0.0263157894736842,0.0135135135135135,0.315789473684211,0.222222222222222,0.315789473684211
50,1,"nb",7,"depthcov",287,0,0,0.0263157894736842,0.0225225225225225,0.315789473684211,0.222222222222222,0.368421052631579
50,1,"nb",7,"er_lm",287,0,0,0.184210526315789,0.0405405405405405,0.421052631578947,0.333333333333333,0.578947368421053
50,1,"nb",7,"abund_lm",265,22,0.5,0.0232558139534884,0.0388349514563107,0.0625,0.296296296296296,0.3125
50,1,"nb",7,"occ_depth",287,0,0,0.157894736842105,0.0405405405405405,0.473684210526316,0.259259259259259,0.421052631578947
50,1,"nb",7,"occ_full",287,0,0,0.105263157894737,0.0405405405405405,0.473684210526316,0.185185185185185,0.368421052631579
50,1,"nb",7,"occ_cal",287,0,0,0.131578947368421,0.0405405405405405,0.421052631578947,0.148148148148148,0.263157894736842
50,1,"nb",7,"abund_trunc",265,22,0.5,0.0232558139534884,0.058252427184466,0.125,0.333333333333333,0.375
50,1,"nb",7,"occ_trunc",287,0,0,0.105263157894737,0.045045045045045,0.473684210526316,0.185185185185185,0.210526315789474
50,1,"nb",7,"abund_ztnb",265,22,0.4,0.0697674418604651,0.0825242718446602,0.125,0.333333333333333,0.5625
50,1,"nb",7,"occ_ztnb",265,22,0,0.09375,0.0339805825242718,0.25,0.037037037037037,0.1875
50,1,"nb",7,"lm_pseudo",287,0,0.25,0.0652173913043478,0.045045045045045,0.263157894736842,0.333333333333333,0.578947368421053
50,1,"nb",7,"lm_pseudo_depth",287,0,0.25,0.0652173913043478,0.045045045045045,0.263157894736842,0.407407407407407,0.578947368421053
50,1,"nb",7,"abund_lm_depth",265,22,0.333333333333333,0.0465116279069767,0.0242718446601942,0.0625,0.296296296296296,0.25
50,1,"nb",7,"zip",280,7,0,0.0285714285714286,0.00917431192660551,0.411764705882353,0.185185185185185,0.222222222222222
50,1,"nb",7,"lm_pseudo_mc",287,0,0.333333333333333,0.0434782608695652,0.027027027027027,0.315789473684211,0.37037037037037,0.473684210526316
