"pi1","balance","comm","bloom","effect","rep","method","n_eval","shift","bias_null","rmse_all","type1","power","fdr","tpr","ci_cov","ref_purity"
0.2,"balanced","even",TRUE,"fixed",1,"mode",300,-0.0823563058883741,0.0494857374845845,0.198243654104255,0.0334728033472803,0.967213114754098,0.0172413793103448,0.934426229508197,0.956666666666667,NA
0.2,"balanced","even",TRUE,"fixed",1,"huber",300,-0.0823563058883741,-0.00406846971163165,0.193232851687312,0.00836820083682008,0.967213114754098,0.0181818181818182,0.885245901639344,0.973333333333333,NA
0.2,"balanced","even",TRUE,"fixed",1,"enull",300,-0.0823563058883741,0.00113752445803465,0.193074913763145,0.0167364016736402,0.983606557377049,0.0181818181818182,0.885245901639344,0.966666666666667,NA
0.2,"balanced","even",TRUE,"fixed",1,"dacomp",240,-0.0823563058883741,-0.0352798906548626,0.208875396678427,0.0165745856353591,0.966101694915254,0.0185185185185185,0.898305084745763,0.9625,0.966666666666667
0.2,"balanced","even",TRUE,"fixed",1,"adapt",150,-0.0823563058883741,0.0193319139354887,0.256609182930758,0.0449438202247191,0.983606557377049,0.0169491525423729,0.950819672131147,0.933333333333333,1
0.2,"balanced","even",TRUE,"fixed",1,"oracle",300,-0.0823563058883741,-0.0159705524691836,0.194118637587711,0.00836820083682008,0.967213114754098,0.0181818181818182,0.885245901639344,0.973333333333333,NA
0.4,"balanced","even",TRUE,"fixed",1,"none",300,0.0747572123334557,-0.0741664541956986,0.231604103806354,0.0726256983240224,0.975206611570248,0.0327868852459016,0.975206611570248,0.9,NA
0.4,"balanced","even",TRUE,"fixed",1,"clr",300,0.0747572123334557,-0.0114299150944648,0.222005279143392,0.0502793296089385,0.975206611570248,0.0166666666666667,0.975206611570248,0.906666666666667,NA
0.4,"balanced","even",TRUE,"fixed",1,"median",300,0.0747572123334557,0.00320523448991333,0.222267775232931,0.0446927374301676,0.983471074380165,0.0168067226890756,0.966942148760331,0.916666666666667,NA
0.4,"balanced","even",TRUE,"fixed",1,"mode",300,0.0747572123334557,0.00302295789042966,0.222258581428225,0.0446927374301676,0.983471074380165,0.0168067226890756,0.966942148760331,0.916666666666667,NA
