"axis","simulator","template","regime_id","replicate","method","method_version","runtime_s","arm","truth_scale","n_tested","n_pos","fdr_05","tpr_05","n_rej_05","fdr_10","tpr_10","n_rej_10","pauc10","fpr05","fpr01","ks_null","shadow","est_bias","est_rmse","ci_cover"
"A","house","hmp_gingiva","R00",2,"pursue","0.2.0",14.199,"presence","rel",299,25,0,0.16,4,0,0.24,6,0.413138686131387,0.062043795620438,0.0109489051094891,0.0522403264852606,0.142857142857143,NA,NA,NA
"A","house","hmp_gingiva","R00",2,"pursue","0.2.0",14.199,"combined","abs",301,32,0,0.03125,1,0,0.125,4,0.348513011152416,0.0520446096654275,0.00743494423791822,0.0549606853397143,NA,NA,NA,NA
"A","house","hmp_gingiva","R00",2,"pursue","0.2.0",14.199,"combined","rel",301,242,0,0.00413223140495868,1,0,0.0165289256198347,4,0.109959378064155,0.0169491525423729,0,0.118439530114464,NA,NA,NA,NA
"A","house","hmp_gingiva","R00",2,"linda","1.4",0.712000000000003,"single","abs",301,32,0,0.28125,9,0,0.375,12,0.587825278810409,0.0446096654275093,0.0148698884758364,0.0412173116816585,NA,-0.0447166736444773,0.379216720362458,0.933333333333333
"A","house","hmp_gingiva","R00",2,"linda","1.4",0.712000000000003,"single","rel",301,242,0,0.0371900826446281,9,0,0.0495867768595041,12,0.224821403557921,0.0169491525423729,0.0169491525423729,0.190298871468239,NA,-0.100151300689294,1.08424448051576,0.533333333333333
"A","house","hmp_gingiva","R00",2,"ancombc2","2.12.0",101.764,"single","abs",301,32,0,0.03125,1,0,0.03125,1,0.0313661710037175,0.420074349442379,0.286245353159851,0.378574368116873,NA,0.0869828847283403,0.694917264711457,0.557894736842105
"A","house","hmp_gingiva","R00",2,"ancombc2","2.12.0",101.764,"single","rel",301,242,0,0.00413223140495868,1,0,0.00413223140495868,1,0.0525283653172713,0.322033898305085,0.203389830508475,0.332133651044057,NA,0.0315482576835234,0.98059262675004,0.417543859649123
"A","house","hmp_gingiva","R00",2,"maaslin3","1.2.0",15.415,"abundance","abs",301,16,0,0,0,1,0,1,0.164473684210526,0.0315789473684211,0.0105263157894737,0.0357796458805753,0,0.0313819307200982,0.699230945245709,NA
"A","house","hmp_gingiva","R00",2,"maaslin3","1.2.0",15.415,"abundance","rel",301,16,0,0,0,1,0,1,0.164473684210526,0.0315789473684211,0.0105263157894737,0.0357796458805753,0,-0.0240526963247187,0.981433179971667,NA
"A","house","hmp_gingiva","R00",2,"maaslin3","1.2.0",15.415,"presence","abs",300,25,0,0.2,5,0.0769230769230769,0.48,13,0.685090909090909,0.0436363636363636,0.0109090909090909,0.0601663250809126,0.142857142857143,NA,NA,NA
